dataset,sequence,L_poly,central,family_a_W5
HeLiPR,bridge01,23044.289352450025,0.0008487844297200494,0.00043274210527491716
HeLiPR,dcc05,5305.618872067649,0.005774498707372411,0.008346276589654736
HeLiPR,kaist05,6876.775539177148,0.00198024329889493,0.0023612637439238784
HeLiPR,riverside05,6392.489322349477,0.0015288976116676072,0.0010044121447011932
HeLiPR,roundabout01,9032.686546043464,0.004441183279230422,0.004729215733723263
HeLiPR,town01,7824.312982864445,0.0038684235510551054,0.007101441548311081
Oxford,2014-11-11-11-06-25_rtk,9020.198870948632,0.0020635619596514557,0.15743328127010603
Oxford,2014-12-05-11-09-10_rtk,1234.5817732801975,0.0020975514797350846,0.1653677001690782
Oxford,2015-02-13-09-16-26_rtk,9004.661345768858,0.0020934887972045247,0.16602231979818086
Oxford,2015-03-24-13-47-33_rtk,9023.85657718674,0.0017539169415318702,0.15890265327776745
Oxford,2015-05-19-14-06-38_rtk,9008.741213395926,0.002071319096541136,0.15875442732727482
Oxford,2015-07-08-13-37-17_rtk,8605.913928566386,0.00300911772714142,0.16723132294336518
Oxford,2015-08-12-15-04-18_rtk,9043.856060635333,0.0018175244695371416,0.16534288923240342
Oxford,2015-08-17-13-30-19_rtk,6838.0917050235585,0.004925254453526869,0.03843066304471082
Oxford,2015-08-27-16-07-13_rtk,9214.448247428045,0.002367013008686261,0.1654431193902773
Oxford,2015-11-02-10-45-59_rtk,9195.651996056858,0.0032583243342513128,0.006704958257538598
Oxford,2015-11-12-11-22-05_rtk,9113.255015149194,0.0018524612832440312,0.16511262412226915
nuScenes,scene-0001,104.21176901824478,0.002037191368032495,0.0008680847877592668
nuScenes,scene-0053,194.12139004509686,0.0004782481690898733,0.003365974081533935
nuScenes,scene-0103,117.4036754186783,0.0002644003786385727,0.003803853068924281
nuScenes,scene-0158,34.51958477622762,0.007277853378270243,0.015844914786328938
nuScenes,scene-0234,46.673829644841405,0.0027989452129217455,0.007531520847509549
nuScenes,scene-0285,135.05428319184466,0.00026691551804064657,0.00033708212617520797
nuScenes,scene-0347,127.51487456627035,0.0017801404175453767,0.0014575114213475355
nuScenes,scene-0398,82.62650581222556,0.0008025261514243251,0.011929933053182379
nuScenes,scene-0450,139.3310625227284,0.0008734051078520483,0.005860040027476348
nuScenes,scene-0505,148.04261337896136,0.00017271876783316026,0.007284308143672391
nuScenes,scene-0557,44.6992937803978,0.0032125730765746787,0.016586484872982334
nuScenes,scene-0612,119.79940072200884,0.002243585405598055,0.004441611136218955
nuScenes,scene-0664,101.80761699940973,0.0005525807916298035,0.010262442688751743
nuScenes,scene-0730,121.64569239230156,0.0018088858465742626,0.0011973043390984771
nuScenes,scene-0798,128.49306084791456,0.00027454862140176484,0.0061861931248667085
nuScenes,scene-0860,44.96455065876156,0.002469779977171323,0.007253075513150249
nuScenes,scene-0914,108.67812190993637,0.0007725186812607721,0.003377373330040105
nuScenes,scene-0977,0.0005041716396898154,8.712975090376968,21.04410551591463
nuScenes,scene-1031,213.53286955013158,0.00014391932292078302,0.000798079216083243
nuScenes,scene-1081,138.3738999526949,0.0013551842192268133,0.0043948806118741
KITTI raw,2011_09_30_drive_0028_sync,4129.7188386207035,0.010757580517940337,0.01543685953968312
KITTI raw,2011_10_03_drive_0027_sync,3722.6481093356115,0.006146768083069828,0.0043823798524251605
KITTI raw,2011_10_03_drive_0034_sync,5061.501402374079,0.0031320342441406887,0.00030459064489397116
KITTI-360,2013_05_28_drive_0000_extract,8376.475448490433,0.003446151972032647,0.001257170588771185
KITTI-360,2013_05_28_drive_0002_extract,15298.128541403878,0.005318385141597334,0.0014831307218341713
KITTI-360,2013_05_28_drive_0003_extract,1378.266273914116,0.0012514552806477432,7.088355304331896e-05
KITTI-360,2013_05_28_drive_0004_extract,10061.232840073797,0.003246209696815676,0.0005354844072256198
KITTI-360,2013_05_28_drive_0005_extract,4673.379834341869,0.004905831986273838,0.0019093479639732227
KITTI-360,2013_05_28_drive_0006_extract,7951.325407590051,0.004067251395527654,0.002138365067518819
